Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,ECON160,ECON161,COMP100,SOM120,ENGL205,BLAW280,MATH103,MATH150A,MATH150B,BUS302,FIN303,MGT360,MKT304,SOM306,BUS497,BLAW308,FIN352,FIN355
230727B,1,Y,70,58,1:1A,1:1A,1:1B,1:1A,1:1A,0:0NA,0:0NA,1:1B,1:1C,0:0NA,0:0NA,1:1B-,1:1A,1:1A-,1:1C,1:1A,0:0NA,1:1C+,0:0NA,0:0NA
230727B,1,N,70,3,1:1A,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,1:1A,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0WU,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,Y,38,104,1:1C,1:1B,1:1B-,1:1B,3:1A,1:1B,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1B,2:0,1:1A-,1:1B,1:1C,0:0NA,1:1C,0:0NA,0:0NA
230727B,1,Y,67,83,1:1C,1:1B,1:1B,1:1A-,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:1B+,1:1A,1:1A,1:1B+,1:1A,0:0NA,1:1A,0:0NA,0:0NA
230727B,1,N,70,6,1:1A,1:1B,1:1A,1:1C,1:1A,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,1:0,1:0,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,Y,10.5,110,2:1B+,1:1B-,3:1B+,1:1B,1:1A,1:1B-,0:0NA,1:1B,0:0NA,1:1A-,0:0NA,1:1B+,1:1B-,1:1B+,1:1C+,1:1A-,0:0NA,1:1C+,0:0NA,0:0NA
230727B,1,N,64,0,0:0NA,0:0NA,1:1C,1:1C,2:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230727B,1,Y,70,62,1:1B,1:1C,1:1B,1:1B,1:1A,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1B-,1:1A,1:1B,1:1B+,1:1B-,0:0NA,2:1C,0:0NA,0:0NA
230727B,1,Y,70,54,1:1C,1:1B,1:1C,1:1B,1:1B,0:0NA,0:0NA,1:1A,1:1B,0:0NA,0:0NA,1:1A-,1:1B+,1:1B+,2:1B+,1:1B+,0:0NA,1:1C+,0:0NA,0:0NA
230727B,1,N,70,11,1:1A,1:1B,1:1B,1:1A,1:1A,0:0NA,1:1B,1:1A,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:1A,1:1B-,2:1B,0:0NA,1:1C,0:0NA,0:0NA
