Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,MATH105,MATH102,MATH104,MATH255A,BIOL106,BIOL107,CHEM101,CHEM102,PHYS100A,PHYS100B,BIOL322,BIOL360,BIOL380,CHEM333,CHEM334
780602B,1,N,64,10,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,1,N,41,65,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,2:1C,1:1A,1:1A,0:0NA,0:0NA,5:0,1:1B+,0:0NA,0:0NA,0:0NA
780602B,1,N,70,20,1:1B,0:0NA,1:1B,1:0A,1:1B,1:1B,1:1C,1:1B,1:1A,2:0,1:1B,1:1C+,1:1B-,2:1C+,1:1C
780602B,2,N,9,37,1:1B,0:0NA,0:0NA,1:1D+,1:1C,0:0NA,1:0F,0:0NA,1:1B,1:0U,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,6,56,1:0W,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,54,18,2:1C+,1:1B,1:1B,1:0D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,9,65,1:1C,0:0NA,0:0NA,1:1B-,1:1B,2:1C,3:0C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,70,77,2:1B,0:0NA,0:0NA,0:0NA,1:1B,2:1D,1:1C,0:0NA,2:1C,2:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,3,N,43,48,2:1C+,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,37,47,0:0NA,0:0NA,0:0NA,1:1A-,1:1C-,2:0,2:1B+,1:1C+,3:1B-,1:0W,1:0W,0:0NA,0:0NA,1:1D,0:0NA
780602B,2,N,38.6,20,1:1A-,0:0NA,0:0NA,1:1B,1:1C,2:0W,1:1,0:0NA,1:1B-,2:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,2,N,67.3,48,0:0NA,1:1C,0:0NA,0:0NA,1:1C,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
780602B,1,N,70,6,0:0NA,1:1C,1:1B,0:0NA,0:0NA,0:0NA,2:1C-,0:0NA,1:1D+,1:1C,2:1C,0:0NA,0:0NA,0:0NA,0:0NA
