Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,BLAW308
230726B,1,N,11,91,0:0NA,0:0NA,1:1C+,1:0W,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,2:1B-
230726B,1,N,33.7,41,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-
230726B,2,N,6,70,0:0NA,0:0NA,1:1B,2:0F,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+
230726B,2,N,6,90,0:0NA,0:0NA,1:1B,1:1B-,1:1C,1:1B,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:1D-,1:0,2:1B+,0:0NA,1:1A
230726B,1,N,3,38,0:0NA,0:0NA,1:1D-,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,N,70,29,1:1B,0:0NA,1:1B-,1:1A,0:0NA,0:0NA,0:0NA,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:1B,3:1B-,1:1B+,1:0F,0:0NA
230726B,4,N,6,59,1:1C-,2:1C,1:1D+,1:1B,2:0F,2:0F,0:0NA,1:1D,1:1D,0:0NA,0:0NA,0:0NA,1:1B+,2:1CR,1:1D,1:1C,1:1C,1:1D,1:1C-
230726B,2,N,7,55,0:0NA,0:0NA,1:1B-,1:1A-,0:0NA,0:0NA,0:0NA,4:0W,0:0NA,0:0NA,0:0NA,1:1D,1:1C+,2:1CR,1:1D,1:1D+,2:1C,1:1C,0:0NA
230726B,1,N,39,25,1:1D,0:0NA,1:1B,1:1A,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,2:1A,3:1B+,0:0NA,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,0:0NA
230726B,4,N,70,25,0:0NA,0:0NA,1:1C+,1:1A,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1D,0:0NA,1:1B,0:0NA,0:0NA,1:1C+,1:1C+,1:1B,0:0NA,1:1B+
230726B,1,N,45,18,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,15,39,1:0,0:0NA,1:1D,1:1A,2:1C,1:1D,0:0NA,2:1C,1:0F,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,3,N,39,36,1:1B+,1:1C+,1:1A,1:1A,1:1B,1:1C+,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,2:1C,0:0NA,1:1C-
230726B,1,N,22,39,0:0NA,0:0NA,1:1C,1:1B,3:0,1:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D+
230726B,1,N,80,13,1:1B,0:0NA,2:0,0:0NA,2:1C,2:0,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,0:0NA
230726B,1,N,70,6,1:1A,1:1B,1:1B,1:1B,1:1B,1:1B,0:0NA,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,1:1B-,1:1C+,1:1C-,1:1C+
230726B,4,N,24,70,0:0NA,0:0NA,1:1A,1:1A,0:0NA,0:0NA,0:0NA,2:1A,1:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,2:0,1:1C+,0:0NA,1:1C-
230726B,1,N,9,72,0:0NA,0:0NA,1:1B+,1:1B,1:1C,0:0NA,0:0NA,2:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,5,N,3,59,0:0NA,0:0NA,2:1D,1:1B+,1:1D,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230726B,2,N,3,102,1:1C,2:1C-,1:1B-,1:1A,0:0NA,0:0NA,0:0NA,2:1B-,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,1:1CR,1:1C-,1:1B+,2:0,1:1B,1:1C+
230726B,1,N,60,24,1:1D+,1:1C,1:1C,1:1A,1:1D+,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1C+,1:1B+,1:1B+,1:1B+,1:1B+
230726B,1,N,21,76,1:1D,1:1C-,1:1C+,1:1B+,1:1D,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,2:0,1:1CR,1:1B,1:1B,1:1C+,1:1C,0:0NA
