Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,MATH103,SOM120,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,ECON308,MGT370,MKT380,BLAW308
230741B,1,N,70,24,1:1B,1:1C,1:1B,1:0C,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,4:0NC,1:1B-,1:1D+,2:1B,0:0NA,3:0F,0:0NA,0:0NA,1:0F
230741B,1,Y,0,139,1:1D,1:1C-,1:1B-,1:1A,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,1:1B-,1:1CR,1:1C+,1:1C,1:1B+,1:1C-,1:1C,1:1C+,0:0NA,1:1B
230741B,1,N,3,65,1:1A,1:1A,1:1B+,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1CR,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,1:1B-
230741B,1,Y,86,67,1:1C,1:1A,1:1B,0:0NA,1:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,1:1C,1:1A-,1:1CR,1:1C-,1:1C+,1:1B+,2:1D+,1:1C,1:1B,0:0NA,2:1C-
230741B,1,N,57,23,1:1C,0:0NA,1:1C,2:1C,1:1C,1:1C,1:1C,1:1C,0:0NA,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,Y,0.5,153,2:1D,1:1B,1:1B-,1:1B,1:1C,1:1C-,0:0NA,0:0NA,1:1C+,0:0NA,0:0NA,0:0NA,1:1B,3:0,1:1B,1:1C-,1:1B+,1:1B,1:1B-,1:1B-,0:0NA,1:1C
230741B,1,N,67,27,1:1A,1:1B,1:1B,1:1A,1:1B,1:1C,0:0NA,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0,1:1C+,1:1C,0:0NA,0:0NA,0:0NA
230741B,1,Y,46,78,1:1A,1:1B,1:1A,1:1A,1:1C,1:1B,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,1:1A,1:1A,2:1CR,1:1B,1:1A-,1:1B+,2:1C,1:1C,1:1A-,0:0NA,1:1C+
230741B,1,N,70,9,2:0F,1:0,1:1C,1:1A,1:1B,1:1B,1:1C,1:1A,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,0:0NA,0:0NA,0:0NA,0:0NA
230741B,1,N,70,13,1:1B,1:1B,1:1B,1:1B,1:1B,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B-,1:1CR,1:1C-,1:1C-,1:1C+,1:1C-,0:0NA,0:0NA,0:0NA,1:1D+
