Major_Cd,N_Terms,Graduated,Transfer_Cr,Inst_Cr,ACCT220,ACCT230,BLAW280,COMP100,ECON160,ECON161,ENGL205,SOM120,MATH103,MATH150A,MATH150B,MATH140,BUS302,FIN303,MGT360,MKT304,SOM306,MKT346,MKT348
230750B,1,N,95,31,0:0NA,0:0NA,0:0NA,1:0,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,70,34,1:1A,1:1A,1:1A,0:0NA,1:0,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1A,1:1B+,1:1A,2:1A,1:1A-,1:1A-
230750B,1,Y,23,131,1:1C,1:1C,1:1D,1:1C,1:1B-,1:1C,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:1D,1:1B,1:1B-,1:1C+,1:1C+,1:1C,1:1C+,1:1B-
230750B,1,Y,70,52,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,1:1A,1:1A,0:0NA,0:0NA,2:0,1:1A-
230750B,1,Y,70,52,1:1C,1:1C,1:1B,1:1C,1:1C,1:1B,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1B,1:1B-,1:1B,1:1A,1:1C+,2:1C,1:1B,2:1B
230750B,1,N,70,52,1:1A,1:1A,1:1A,1:1A,1:1B,1:1A,1:1B,0:0NA,0:0NA,1:1A,0:0NA,1:1B,1:1B,1:1C+,1:1C,1:1B-,1:1B,1:1B-,1:1B
230750B,1,N,3,101,1:1D+,3:0,2:1C,1:1A,2:0F,1:1C,0:0NA,1:0,0:0NA,0:0NA,0:0NA,2:1C+,0:0NA,1:1D,1:0,3:0F,1:0F,1:0,0:0NA
230750B,1,N,69,51,1:1C,1:1B,1:1C,1:1B,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1B+,2:0,1:1B-,1:1B,1:1C,1:1B-
230750B,1,Y,79.2,41,1:1A,1:1A,1:1A,0:0NA,1:1C+,1:1A,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,1:1A,1:1A,1:1A,1:1A,1:1A,1:1A
230750B,1,Y,123,40,1:1A,1:1B,0:0NA,0:0NA,1:1C,1:1A,0:0NA,1:1B+,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,1:1C+,1:1B-,0:0NA,1:1B-,1:1C,1:1B-
230750B,1,Y,94,46,1:1B,1:1A,1:1A,0:0NA,1:1C,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1C+,1:1B-,2:1C,1:1C-,1:1C,1:1B
230750B,1,N,6,117,1:1B,1:1B,1:1A,1:1B-,1:1B,1:1B,0:0NA,1:1C,0:0NA,0:0NA,0:0NA,1:0,1:1B,1:1C+,1:1B+,2:1B+,1:1C,1:1B+,1:1A-
230750B,1,N,70,37,1:1A,1:1B+,1:1C,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,2:0,1:1D,2:0,1:1B+,1:1C,1:1C
230750B,1,N,0,43,0:0NA,0:0NA,0:0NA,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,70,40,1:0F,0:0NA,1:1C-,1:1C,2:1D+,1:1D-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1D,1:1C+,1:0F,0:0NA,1:1B
230750B,1,Y,70,55,1:1B,1:1A,1:1A,1:1B,1:1A,1:1A,0:0NA,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B-,1:1B-,1:1B-,2:1B+,1:1B,1:1B
230750B,1,N,0,36,0:0NA,0:0NA,0:0NA,1:1C+,1:1D+,1:1C,0:0NA,0:0NA,2:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,1:1C-
230750B,1,Y,26,94,0:0NA,1:1A,1:1A,0:0NA,1:1A,1:1A,0:0NA,0:0NA,2:1A,1:0,0:0NA,1:1A,0:0NA,1:1B,0:0NA,1:1A-,1:1C,1:1A,1:1A
230750B,1,N,0,14,0:0NA,0:0NA,0:0NA,1:0,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,N,0,38,0:0NA,0:0NA,0:0NA,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,0:0NA,0:0NA,1:1C-
230750B,1,Y,70,51,1:1B,1:1B,1:1C,1:1B,1:1C,1:1C,0:0NA,0:0NA,1:1C,0:0NA,0:0NA,1:1B,1:1C,2:1A,1:1C-,1:1C,1:1B,1:1C,1:1C
230750B,1,Y,70.7,50,1:1A,1:1B+,1:1A,1:1A,1:1B,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1A-,2:1B-,1:1B-,1:1B,1:1C,1:1C+,1:1B+
230750B,1,Y,51,93,1:1A,0:0NA,1:1C+,1:1A,1:1C-,3:0F,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,2:1B,1:1A,1:1B+,1:1A,1:1B,1:1A-
230750B,1,N,70,58,1:1C,1:1C,1:1B,0:0NA,1:1B,1:1C,0:0NA,0:0NA,1:1D,0:0NA,0:0NA,1:1C,3:1A-,1:1B,1:1B,1:1C+,1:1B+,0:0NA,0:0NA
230750B,1,Y,57,63,1:1C,1:1B,1:1C,0:0NA,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,1:1B+,1:1C,1:1D,1:1D+,1:1C-,1:1D+
230750B,1,Y,139,54,0:0NA,0:0NA,1:1D+,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1B,0:0NA,0:0NA,1:1B,1:1C,1:1C,1:1C+
230750B,1,N,9,81,1:1C,1:1B-,1:1B,1:1B,1:1B+,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B+,1:1B,1:1A-,1:1B,1:1C+,1:1B,1:1B
230750B,1,Y,60,79,1:1C,1:1B,1:1A,1:1A,1:1B,1:1A-,0:0NA,1:1A-,0:0NA,0:0NA,0:0NA,0:0NA,1:1A-,1:1A-,1:1B+,1:1B+,1:1B,1:1B+,1:1A-
230750B,1,N,57,44,1:1C,1:1B,2:1A-,1:1A-,1:1A,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,2:1A,1:1C-,1:1A-,1:1C,1:1B,0:0NA,0:0NA,0:0NA
230750B,1,N,98,34,1:1B,0:0NA,1:1B,2:1B-,3:0,2:0,0:0NA,3:1C,0:0NA,0:0NA,0:0NA,1:0,1:1B,1:1C,1:1C,1:1D,3:1C-,2:0,1:1C
230750B,1,Y,70,52,1:1A,1:1B,1:1C,1:1B,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B,1:1C+,1:1B,1:1B-,1:1B-,1:1B-,1:1A
230750B,1,Y,76,75,1:1B,1:1B,1:1A,1:1A,1:1B,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1B+,1:1B,1:1B+,1:1A,1:1B,1:1B,1:1B+
230750B,1,N,70,18,1:1C,1:1D,1:1B,1:1B,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:0F,1:1B,1:0,0:0NA,1:1B-,0:0NA,0:0NA,0:0NA
230750B,1,Y,82,56,2:0,1:1D,2:1D,1:1A,1:1B-,1:1B,0:0NA,0:0NA,0:0NA,1:1B,1:1,1:1B,1:1B+,1:1B+,1:1C-,1:1B,0:0NA,2:1C,1:1C+
230750B,1,Y,90,98,1:1C-,1:1C,1:1B,1:1A-,1:1B,2:1B-,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B-,1:1B,1:1B-,0:0NA,1:1C-,1:1B-,1:1C
230750B,1,Y,9,141,1:1B,1:1B+,1:1B,1:1A,1:1A,1:1C+,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1B-,1:1B,1:1B,1:1B,1:1A,1:1A
230750B,1,Y,70,60,1:1B,1:1C,1:1B+,1:1A,1:1B,1:1A,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1C,1:1A-,1:1C,1:1C,1:1B-,1:1C,1:1C,1:1C+
230750B,1,N,60,18,1:0F,0:0NA,0:0NA,1:1,1:1C,1:1C,0:0NA,1:1D,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA
230750B,1,Y,70,54,1:1C,1:1C,1:1C,1:1C,1:1C,1:1B,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1B,1:1C,1:1D,2:1C-,1:1C+,2:1C,2:1C,1:1C
230750B,1,Y,70,50,1:1A,1:1B,1:1A,1:1A,1:1C,1:1C,0:0NA,0:0NA,0:0NA,0:0NA,0:0NA,1:1A,1:1B+,1:1C,1:1C,1:1C+,1:1C,1:1B-,1:1B
230750B,1,N,69,36,1:1B,1:1C,1:1A,0:0NA,1:1B,1:1C,1:1A,2:0WU,0:0NA,0:0NA,0:0NA,0:0NA,1:1C+,1:1B-,1:1D,1:1B,1:1C,3:1B-,1:1A-
